# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006034-1
# text = Marduk apkal ilāni bēl têrēte Ninurta qarrād Igigi u Anunnaki Nergal gitmālu šar tamhāri Nusku nāš haṭṭi elleti ilu multālu Ninlil hīrti Enlil ummi ilāni rabûti Ištar rēštīti šamê erṣeti ša paraṣ qardūte šuklulat
1	Marduk	Marduk	PROPN	DN	Case=Undefined|Gender=M	0	root	0:root	{d}AMAR.UTU
2	apkal	apkallu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	ABGAL
3	ilāni	ilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	2	nmod:poss	2:nmod:poss	DINGIR.MEŠ
4	bēl	bēlu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	EN
5	têrēte	têrtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	4	nmod:poss	4:nmod:poss	te-re-te
6	Ninurta	Ninurta	PROPN	DN	Case=Undefined|Gender=M	1	conj	1:conj	{d}nin-urta
7	qarrād	qarrādu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	6	appos	6:appos	qar-rad
8	Igigi	Igigu	PROPN	DN	Case=Undefined|Gender=Undefined|Number=Pl	7	nmod:poss	7:nmod:poss	NUN.GAL.MEŠ
9	u	u	CCONJ	CNJ	_	10	cc	10:cc	u₃
10	Anunnaki	Anunnaku	PROPN	DN	Case=Undefined|Gender=Undefined|Number=Pl	8	conj	8:conj	{d}a-nun-na-ki
11	Nergal	Nergal	PROPN	DN	Case=Undefined|Gender=M	1	conj	1:conj	{d}U.GUR
12	gitmālu	gitmālu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	11	amod	11:amod	git₂-ma-lu
13	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
14	tamhāri	tamhāru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	13	nmod:poss	13:nmod:poss	tam-ha-ri
15	Nusku	Nusku	PROPN	DN	Case=Undefined|Gender=M	1	conj	1:conj	{d}nusku
16	nāš	nāšû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	15	appos	15:appos	na-a-aš₂
17	haṭṭi	haṭṭu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	16	nmod:poss	16:nmod:poss	{GIŠ}GIDRU
18	elleti	ellu	ADJ	AJ	Case=Gen|Gender=F|Number=Sg	17	amod	17:amod	KU₃-ti
19	ilu	ilu	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	15	appos	15:appos	_
20	multālu	muštālu	ADJ	N	Case=Nom|Gender=M|Number=Sg	19	amod	19:amod	mul-ta-lu
21	Ninlil	Ninlil	PROPN	DN	Case=Undefined|Gender=F	1	conj	1:conj	{d}NIN.LIL₂
