# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004566-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	0	root	0:root	{m}aš-šur-PAP-A
2	šakin	šaknu	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	GAR
3	Enlil	Enlil	PROPN	DN	Gender=Masc	2	nmod:poss	2:nmod:poss	{d}BAD
4	iššak	iššiakku	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	ŠID
5	Aššur	Aššur	PROPN	DN	Gender=Masc	4	nmod:poss	4:nmod:poss	aš-šur
6	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
7	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	6	amod	6:amod	GAL
8	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
9	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	8	amod	8:amod	dan-nu
10	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	10	nmod:poss	10:nmod:poss	ŠU₂
12	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	acl	1:acl	MAN
13	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Gender=Masc	13	nmod:poss	13:nmod:poss	aš-šur
15	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	A
16	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	15	nmod:poss	15:nmod:poss	TUKUL-MAŠ
17	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	16	appos	16:appos	MAN
18	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	17	amod	17:amod	GAL
19	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	16	appos	16:appos	MAN
20	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	19	amod	19:amod	dan-nu
21	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	MAN
22	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	21	nmod:poss	21:nmod:poss	ŠU₂
23	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	MAN
24	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	23	nmod:poss	23:nmod:poss	KUR
25	Aššur	Aššur	PROPN	GN	Gender=Masc	24	nmod:poss	24:nmod:poss	aš-šur
26	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	A
27	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	26	nmod:poss	26:nmod:poss	10-ERIM.TAH₂
28	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	27	appos	27:appos	MAN
29	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	28	amod	28:amod	GAL
30	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	27	appos	27:appos	MAN
31	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	30	amod	30:amod	dan-nu
32	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	27	appos	27:appos	MAN
33	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	32	nmod:poss	32:nmod:poss	ŠU₂
34	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	27	appos	27:appos	MAN
35	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	34	nmod:poss	34:nmod:poss	KUR
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	GN	Gender=Masc	35	nmod:poss	35:nmod:poss	aš-šur-ma
37	ma	_	PART	_	_	36	dep	36:dep	_

# sent_id = Q004566-2
# text = makkūr bīt Ištar ša Ninua
1	makkūr	makkūru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	0	root	0:root	NIG₂.GA
2	bīt	bītu	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	nmod:poss	1:nmod:poss	E₂
3	Ištar	Ištar	PROPN	DN	Gender=Fem	2	nmod:poss	2:nmod:poss	{d}INANNA
4	ša	ša	ADP	DET	_	5	case	5:case	ša₂
5	Ninua	Ninua	PROPN	SN	_	3	nmod	3:nmod	{URU}ni-nu-a

